chr;start;end;length;abs_summit;pileup;LOG10(pvalue);fold_enrichment;LOG10(qvalue);name
chr9;91458810;91459226;417;91459011;68,34;47,17896;9,92823;44,1218;mDUX-rep2-peak.28877
chr9;117123509;117124015;507;117123761;68,34;47,17896;9,92823;44,1218;mDUX-rep2-peak.29168
chrX;42066223;42067040;818;42066482;68,34;47,17896;9,92823;44,1218;mDUX-rep2-peak.29476
chrX;49466877;49467342;466;49467120;68,34;47,17896;9,92823;44,1218;mDUX-rep2-peak.29507
chrX;118965545;118966033;489;118965849;68,34;47,17896;9,92823;44,1218;mDUX-rep2-peak.29813
chrX;126998863;126999314;452;126999135;68,34;47,17896;9,92823;44,1218;mDUX-rep2-peak.29831
chr7;24879620;24879992;373;24879829;87,33;47,14242;7,31973;44,08962;mDUX-rep2-peak.24996
chr11;22990413;22990823;411;22990655;168,96;47,12236;3,86271;44,06961;mDUX-rep2-peak.4052
chr4;16209938;16210438;501;16210167;68,34;47,10776;9,90615;44,05501;mDUX-rep2-peak.19119
chr7;126533069;126533775;707;126533290;68,34;47,10776;9,90615;44,05501;mDUX-rep2-peak.26120
chr4;148651017;148651325;309;148651232;124,35;47,07984;5,01385;44,02727;mDUX-rep2-peak.21078
chr2;4332507;4333120;614;4332895;90,17;47,07642;7,01345;44,02386;mDUX-rep2-peak.15323
chr1;134630169;134630728;560;134630461;85,43;47,06633;7,51555;44,01384;mDUX-rep2-peak.1417
chr15;13100312;13100775;464;13100539;72,14;46,95511;9,14249;43,90282;mDUX-rep2-peak.10708
chr2;104061051;104061702;652;104061380;72,14;46,95511;9,14249;43,90282;mDUX-rep2-peak.16356
chr4;133598784;133599243;460;133599012;102,51;46,94248;6,10345;43,89033;mDUX-rep2-peak.20345
chr5;120560666;120561052;387;120560962;103,46;46,91135;6,03244;43,85928;mDUX-rep2-peak.22536
chr13;55995003;55995470;468;55995282;101,57;46,87972;6,16193;43,82774;mDUX-rep2-peak.7523
chr4;127457978;127458365;388;127458176;77,84;46,86404;8,46234;43,81207;mDUX-rep2-peak.20251
chr6;48554692;48555102;411;48554873;136,69;46,84382;4,58954;43,79192;mDUX-rep2-peak.23422
chr1;132365281;132365642;362;132365463;96,82;46,82201;6,52129;43,77012;mDUX-rep2-peak.1364
chr2;154676574;154677025;452;154676794;83,53;46,80904;7,68458;43,75724;mDUX-rep2-peak.16948
chr8;18873592;18874050;459;18873836;83,53;46,80904;7,68458;43,75724;mDUX-rep2-peak.26492
chr8;20129417;20131347;1931;20129634;83,53;46,80904;7,68458;43,75724;mDUX-rep2-peak.26592
chr1;21051238;21051801;564;21051577;78,78;46,77628;8,30222;43,72458;mDUX-rep2-peak.210
chr12;117273988;117274488;501;117274262;78,78;46,77628;8,30222;43,72458;mDUX-rep2-peak.6747
chr11;88140156;88140660;505;88140388;86,38;46,74723;7,34331;43,69558;mDUX-rep2-peak.4874
chr11;87426036;87426467;432;87426226;74,04;46,74329;8,76616;43,69165;mDUX-rep2-peak.4864
chrUn_JH584304;104404;104657;254;104604;3864,23;46,73532;1,27271;43,68374;mDUX-rep2-peak.29294
chr12;102722448;102722860;413;102722663;152,82;46,70723;4,15737;43,65567;mDUX-rep2-peak.6539
chr14;4831202;4831783;582;4831600;113,91;46,69108;5,47167;43,63958;mDUX-rep2-peak.8751
chr12;83531184;83531579;396;83531407;90,17;46,68372;6,93978;43,63223;mDUX-rep2-peak.6261
chr6;100211445;100211896;452;100211637;105,36;46,67872;5,8715;43,62724;mDUX-rep2-peak.24030
chr18;42558279;42558727;449;42558386;145,23;46,58844;4,30085;43,53707;mDUX-rep2-peak.13998
chr15;84270757;84271160;404;84270989;94,92;46,58769;6,64272;43,53632;mDUX-rep2-peak.11369
chr1;171499838;171500831;994;171500494;74,99;46,58081;8,8337;43,52945;mDUX-rep2-peak.1869
chr14;7920344;7920785;442;7920581;74,04;46,58081;8,72336;43,52945;mDUX-rep2-peak.9203
chr17;27415067;27415407;341;27415223;217,37;46,55975;3,16477;43,50846;mDUX-rep2-peak.12906
chr18;7757645;7758122;478;7757870;77,84;46,55954;8,38672;43,50825;mDUX-rep2-peak.13673
chr4;47473461;47473821;361;47473668;77,84;46,55954;8,38672;43,50825;mDUX-rep2-peak.19401
chr6;72694050;72694455;406;72694211;82,58;46,50389;7,73399;43,45269;mDUX-rep2-peak.23723
chr2;50687107;50687629;523;50687445;86,38;46,44199;7,2815;43,39089;mDUX-rep2-peak.15741
chr4;138773749;138774117;369;138773995;86,38;46,44199;7,2815;43,39089;mDUX-rep2-peak.20413
chr7;112823699;112824128;430;112823823;86,38;46,44199;7,2815;43,39089;mDUX-rep2-peak.25925
chr5;115301138;115301493;356;115301303;171,81;46,38937;3,75667;43,33838;mDUX-rep2-peak.22474
chr1;70913018;70913539;522;70913256;79,73;46,37289;8,07335;43,32193;mDUX-rep2-peak.719
chr19;43522133;43522697;565;43522458;77,84;46,25844;8,31244;43,20774;mDUX-rep2-peak.14998
chr17;31139116;31139411;296;31139283;132,89;46,21906;4,66188;43,16843;mDUX-rep2-peak.12963
chr16;16358950;16359290;341;16359094;135,74;46,20079;4,56094;43,15017;mDUX-rep2-peak.11817
chr4;11026255;11026771;517;11026477;89,23;46,19584;6,94043;43,14522;mDUX-rep2-peak.19080
chr19;45020767;45021153;387;45020986;102,51;46,1548;5,98489;43,10427;mDUX-rep2-peak.15031
chr6;97277944;97278398;455;97278190;104,41;46,14407;5,85628;43,09356;mDUX-rep2-peak.23992
chr4;130568305;130568684;380;130568499;111,06;46,13632;5,45823;43,08586;mDUX-rep2-peak.20305
chr1;111374127;111374777;651;111374388;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.1197
chr1;159749408;159749917;510;159749692;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.1710
chr1;192643724;192644285;562;192643920;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.2141
chr10;10112571;10112905;335;10112741;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.2241
chr10;18948689;18949188;500;18948911;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.2351
chr10;104107739;104108189;451;104107943;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.3410
chr10;112765973;112766546;574;112766271;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.3534
chr10;121961175;121961721;547;121961426;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.3682
chr11;19764903;19765316;414;19765104;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.4003
chr12;20626618;20627144;527;20626853;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.5545
chr12;28732971;28733942;972;28733627;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.5669
chr12;55995458;55995910;453;55995715;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.5922
chr12;58612325;58612707;383;58612489;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.5948
chr12;68272410;68273015;606;68272743;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.6021
chr12;88297748;88298398;651;88298170;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.6405
chr12;100450670;100451192;523;100450922;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.6507
chr13;11722783;11723361;579;11723002;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.6881
chr13;98078243;98078773;531;98078514;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.8191
chr14;19844245;19844656;412;19844464;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.9353
chr14;60957696;60958543;848;60958188;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.9987
chr14;76615424;76616882;1459;76616591;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.10162
chr14;124444203;124444607;405;124444441;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.10566
chr15;27381569;27382053;485;27381802;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.10825
chr15;51708944;51709338;395;51709164;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.11045
chr15;64600580;64601219;640;64600910;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.11164
chr16;20892190;20892834;645;20892501;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.11893
chr16;21889798;21890547;750;21890059;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.11909
chr16;55441823;55442290;468;55442041;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.12284
chr16;62845376;62845819;444;62845562;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.12352
chr17;7864752;7865118;367;7864964;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.12663
chr17;62758328;62758843;516;62758567;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.13270
chr17;90790261;90790752;492;90790557;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.13578
chr18;34315708;34316261;554;34316002;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.13903
chr19;49259547;49260033;487;49259741;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.15078
chr1_GL456210_random;17136;18123;988;17879;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.15192
chr2;142236041;142236558;518;142236290;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.16804
chr2;146391997;146392453;457;146392256;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.16854
chr3;122211290;122211782;493;122211510;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.18627
chr3;126491096;126491514;419;126491341;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.18666
chr3;131743916;131744356;441;131744117;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.18719
chr3;140738849;140739289;441;140739065;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.18818
chr4;8038247;8038769;523;8038572;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.19048
chr4;12762176;12762692;517;12762497;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.19097
chr4;47993254;47993760;507;47993488;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.19404
chr4;136574859;136575250;392;136575062;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.20389
chr5;20883957;20884455;499;20884217;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.21473
chr5;26524782;26525224;443;26524989;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.21583
chr5;29132191;29132588;398;29132414;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.21625
chr5;73219656;73220139;484;73219934;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.22040
chr5;76473511;76474111;601;76473757;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.22091
chr5;147506703;147507203;501;147506953;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.22849
chr6;10343415;10343892;478;10343623;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.23066
chr6;22632297;22632984;688;22632744;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.23149
chr6;145989419;145989853;435;145989618;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.24518
chr7;14394577;14394989;413;14394751;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.24787
chr7;29667708;29668192;485;29668055;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.25068
chr7;104791894;104792315;422;104792112;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.25825
chr8;72988618;72989079;462;72988860;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.27250
chr8;116348089;116348921;833;116348425;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.27707
chr9;5334745;5335358;614;5334921;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.27861
chr9;68912805;68913428;624;68913212;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.28625
chr9;83632875;83633318;444;83633094;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.28797
chr9;101509394;101509880;487;101509651;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.28985
chrX;18814980;18815485;506;18815244;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.29386
chrX;92468718;92469222;505;92469033;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.29695
chrX;126313685;126314194;510;126313965;67,39;46,11655;9,79233;43,0661;mDUX-rep2-peak.29825
chr8;19934321;19934655;335;19934513;127,19;46,10016;4,79302;43,05419;mDUX-rep2-peak.26543
chr6;140603176;140603761;586;140603546;74,99;46,0993;8,70618;43,05333;mDUX-rep2-peak.24453
chr18;60670789;60671137;349;60670988;155,67;46,08151;4,03789;43,03556;mDUX-rep2-peak.14184
chr3;87777098;87777468;371;87777267;151,87;46,07797;4,13171;43,03203;mDUX-rep2-peak.18107
chr17;6808666;6809075;410;6808885;75,94;46,06736;8,54852;43,02143;mDUX-rep2-peak.12653
chr4;82815275;82815725;451;82815495;75,94;46,06736;8,54852;43,02143;mDUX-rep2-peak.19723
chr12;77964156;77964567;412;77964372;70,24;46,0624;9,22817;43,01654;mDUX-rep2-peak.6191
chr6;5117506;5118069;564;5117789;92,07;46,04781;6,64809;43,00202;mDUX-rep2-peak.23006
chr1;163392808;163393276;469;163393007;67,39;46,04648;9,77055;43,00072;mDUX-rep2-peak.1750
chr18;73534426;73534927;502;73534711;67,39;46,04648;9,77055;43,00072;mDUX-rep2-peak.14342
chr2;121499884;121500348;465;121500076;67,39;46,04648;9,77055;43,00072;mDUX-rep2-peak.16583
chr7;13170026;13170432;407;13170231;130,99;46,04605;4,71396;43,00041;mDUX-rep2-peak.24773
chr1;136973042;136973524;483;136973322;78,78;46,03944;8,12468;42,99382;mDUX-rep2-peak.1458
chr9;32369365;32369888;524;32369595;101,57;46,03821;6,03326;42,99259;mDUX-rep2-peak.28151
chr8;122450926;122451353;428;122451117;95,87;46,01634;6,46404;42,97078;mDUX-rep2-peak.27752
chr15;75756283;75756606;324;75756471;125,3;46,01464;4,85939;42,96908;mDUX-rep2-peak.11262
chr7;24407883;24408243;361;24408051;142,38;45,94212;4,32784;42,89671;mDUX-rep2-peak.24992
chr8;12472931;12473415;485;12473202;88,28;45,93806;6,98509;42,89267;mDUX-rep2-peak.26436
chr11;53317125;53317994;870;53317766;71,19;45,93628;9,02383;42,89089;mDUX-rep2-peak.4409
chr3;90167397;90167982;586;90167647;71,19;45,93628;9,02383;42,89089;mDUX-rep2-peak.18145
chr5;34862627;34863071;445;34862876;71,19;45,93628;9,02383;42,89089;mDUX-rep2-peak.21710
chr6;47021538;47021942;405;47021756;71,19;45,93628;9,02383;42,89089;mDUX-rep2-peak.23396
chr11;60371999;60372352;354;60372180;76,89;45,89119;8,36045;42,846;mDUX-rep2-peak.4492
chr2;164867745;164868168;424;164867988;120,55;45,85236;5,04355;42,80728;mDUX-rep2-peak.17065
chr9;121856624;121857012;389;121856851;110,11;45,80793;5,46793;42,76291;mDUX-rep2-peak.29215
chr17;34950497;34951016;520;34950739;80,68;45,80422;7,81653;42,7592;mDUX-rep2-peak.13022
chr5;66214524;66215035;512;66214721;68,34;45,77395;9,49905;42,72898;mDUX-rep2-peak.21970
chr5;113994151;113994480;330;113994282;117,7;45,73067;5,16095;42,68579;mDUX-rep2-peak.22462
chr17;22625051;22625473;423;22625224;85,43;45,71874;7,23799;42,67389;mDUX-rep2-peak.12849
chr13;59127759;59128196;438;59127971;98,72;45,68983;6,18596;42,64505;mDUX-rep2-peak.7582
chr4;41094187;41094517;331;41094376;117,7;45,63584;5,14976;42,59114;mDUX-rep2-peak.19342
chr19;7427371;7427852;482;7427589;82,58;45,63113;7,54343;42,58644;mDUX-rep2-peak.14561
chr4;145515217;145516631;1415;145515966;70,24;45,62923;9,10434;42,58455;mDUX-rep2-peak.20567
chr15;8801949;8802698;750;8802283;72,14;45,55804;8,75927;42,51345;mDUX-rep2-peak.10653
chr6;93648533;93649034;502;93648799;85,43;45,54316;7,2024;42,49862;mDUX-rep2-peak.23942
chr8;84914065;84914421;357;84914262;112,96;45,52804;5,37477;42,48355;mDUX-rep2-peak.27362
chr14;76141023;76141497;475;76141234;84,48;45,51131;7,29971;42,46686;mDUX-rep2-peak.10153
chr4;101446103;101447096;994;101446600;67,39;45,46024;9,58971;42,41586;mDUX-rep2-peak.19920
chr1;93268019;93268475;457;93268251;71,19;45,46006;8,89157;42,41569;mDUX-rep2-peak.1095
chr17;8331242;8331696;455;8331504;77,84;45,44734;8,11479;42,40298;mDUX-rep2-peak.12666
chr6;88011843;88013577;1735;88012080;78,78;45,42337;7,97843;42,37905;mDUX-rep2-peak.23875
chr2;167525785;167526235;451;167526043;74,04;45,39316;8,4152;42,34893;mDUX-rep2-peak.17103
chr5;30900813;30901326;514;30901088;69,29;45,38438;9,20538;42,34016;mDUX-rep2-peak.21647
chr19;47718096;47718670;575;47718311;103,46;45,35255;5,80354;42,30841;mDUX-rep2-peak.15069
chr8;109437013;109437537;525;109437341;103,46;45,35255;5,80354;42,30841;mDUX-rep2-peak.27645
chr8;117569423;117569799;377;117569598;88,28;45,34518;6,87218;42,30107;mDUX-rep2-peak.27717
chr1;89015303;89016009;707;89015747;88,28;45,32005;6,86742;42,27597;mDUX-rep2-peak.1069
chr6;127828235;127828734;500;127828512;88,28;45,32005;6,86742;42,27597;mDUX-rep2-peak.24320
chr1;86187790;86188396;607;86188053;76,89;45,29427;8,21235;42,25027;mDUX-rep2-peak.1008
chr16;33966878;33967331;454;33967107;124,35;45,29377;4,82101;42,24978;mDUX-rep2-peak.12061
chr16;94692848;94693324;477;94693067;100,62;45,23295;5,97742;42,18904;mDUX-rep2-peak.12576
chr14;4080684;4081592;909;4080977;91,12;45,19254;6,58029;42,14872;mDUX-rep2-peak.8621
chr7;130834739;130835159;421;130834938;91,12;45,13969;6,5709;42,09606;mDUX-rep2-peak.26178
chr12;87930883;87931413;531;87931209;74,04;45,08898;8,33759;42,04543;mDUX-rep2-peak.6366
chr14;105255579;105256020;442;105255779;74,04;45,08898;8,33759;42,04543;mDUX-rep2-peak.10399
chr4;89348793;89349239;447;89349058;74,99;45,08898;8,44306;42,04543;mDUX-rep2-peak.19806
chr5;132904523;132905066;544;132904854;74,99;45,08898;8,44306;42,04543;mDUX-rep2-peak.22676
chrX;144278990;144279432;443;144279215;74,99;45,08898;8,44306;42,04543;mDUX-rep2-peak.29916
chr1;38185523;38185927;405;38185747;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.393
chr1;94076131;94076877;747;94076496;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.1114
chr1;99658074;99658609;536;99658331;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.1146
chr1;149426053;149426474;422;149426295;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.1558
chr1;170180418;170181276;859;170181026;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.1840
chr10;28242452;28242898;447;28242640;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.2485
chr10;36611026;36611846;821;36611593;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.2560
chr10;114872676;114873292;617;114872944;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.3549
chr10;118422127;118422733;607;118422358;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.3625
chr11;56105626;56106284;659;56105876;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.4446
chr11;97223114;97224247;1134;97223811;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.4995
chr12;52312875;52313492;618;52313258;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.5867
chr12;69654058;69654308;251;69654166;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.6044
chr13;12135941;12136873;933;12136488;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.6887
chr13;21868297;21869009;713;21868679;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.7082
chr13;40231101;40231531;431;40231337;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.7305
chr13;45319575;45320104;530;45319863;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.7396
chr13;80385594;80386105;512;80385864;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.8003
chr13;106644516;106644975;460;106644737;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.8298
chr14;7536602;7537579;978;7536846;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.9175
chr15;19361473;19361946;474;19361740;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.10761
chr15;73806833;73807327;495;73807089;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.11238
chr16;17665214;17665693;480;17665449;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.11834
chr16;80671082;80671481;400;80671224;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.12451
chr16;85964542;85965010;469;85964826;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.12492
chr17;40228752;40229578;827;40229019;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.13081
chr17;40650631;40651066;436;40650843;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.13084
chr17;48335927;48336402;476;48336207;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.13160
chr18;49968511;49969073;563;49968767;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.14070
chr18;65125346;65125852;507;65125573;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.14234
chr19;22138001;22138449;449;22138234;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.14717
chr2;49220865;49221354;490;49221109;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.15721
chr2;50263923;50264330;408;50264120;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.15736
chr2;51779279;51779767;489;51779609;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.15767
chr2;69351827;69352258;432;69352041;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.15961
chr2;84704301;84704767;467;84704511;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.16211
chr2;120358532;120358941;410;120358734;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.16558
chr2;174921236;174921721;486;174921463;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.17216
chr3;10381205;10382074;870;10381848;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.17379
chr3;78377505;78377871;367;78377693;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.18000
chr3;86276203;86276754;552;86276427;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.18081
chr3;96098486;96099043;558;96098727;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.18310
chr4;24852560;24853019;460;24852789;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.19201
chr4;26042709;26043155;447;26042927;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.19217
chr4;55319068;55319566;499;55319330;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.19484
chr4;73905814;73906244;431;73906010;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.19670
chr4;80664295;80664738;444;80664531;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.19702
chr4;97074260;97074775;516;97074490;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.19862
chr4;100149932;100150608;677;100150223;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.19900
chr4;111517235;111517790;556;111517533;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.20072
chr5;8643300;8643765;466;8643538;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.21203
chr5;20748150;20748682;533;20748430;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.21469
chr5;39636950;39637416;467;39637213;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.21750
chr5;66858038;66858479;442;66858210;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.21981
chr5;110888730;110889603;874;110889230;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.22427
chr6;3889394;3889985;592;3889665;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.22989
chr6;50904967;50905312;346;50905138;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.23464
chr6;132874957;132875444;488;132875205;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.24367
chr7;22778385;22778993;609;22778567;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.24974
chr8;89092662;89093047;386;89092861;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.27417
chr8;110404456;110404874;419;110404665;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.27654
chr9;28934633;28935156;524;28934845;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.28097
chr9;30547868;30548269;402;30548071;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.28118
chr9;71348640;71349126;487;71348913;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.28657
chr9;115303637;115304245;609;115303914;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.29147
chrX;48515225;48515658;434;48515442;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.29499
chrX;57338334;57338712;379;57338575;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.29541
chrX;83513259;83513719;461;83513478;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.29668
chrX;135839935;135840426;492;135840149;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.29875
chrY;9923216;9923571;356;9923426;66,44;45,06045;9,65642;42,01709;mDUX-rep2-peak.30046
chr6;148213814;148214331;518;148214046;67,39;45,00371;9,45058;41,96493;mDUX-rep2-peak.24540
chr10;45486515;45486866;352;45486689;116,75;45,00037;5,11968;41,9616;mDUX-rep2-peak.2696
chr1;43776688;43777099;412;43776871;66,44;44,99151;9,63495;41,95276;mDUX-rep2-peak.449
chr6;51876046;51876527;482;51876298;66,44;44,99151;9,63495;41,95276;mDUX-rep2-peak.23483
chrX;48297493;48297905;413;48297700;66,44;44,99151;9,63495;41,95276;mDUX-rep2-peak.29496
chr2;130157460;130158032;573;130157737;82,58;44,97786;7,40312;41,93925;mDUX-rep2-peak.16698
chr9;57509241;57509796;556;57509468;78,78;44,97037;7,87216;41,93179;mDUX-rep2-peak.28468
chr4;140640124;140640477;354;140640247;147,13;44,96972;4,11465;41,93114;mDUX-rep2-peak.20426
chr15;83562864;83563191;328;83563042;121,5;44,93776;4,89995;41,89931;mDUX-rep2-peak.11365
chr9;108449801;108450182;382;108449986;121,5;44,93776;4,89995;41,89931;mDUX-rep2-peak.29067
chr10;118332284;118332807;524;118332591;70,24;44,9234;8,90518;41,88498;mDUX-rep2-peak.3620
chr17;24133933;24134625;693;24134215;70,24;44,9234;8,90518;41,88498;mDUX-rep2-peak.12872
chr3;144164921;144165442;522;144165169;70,24;44,9234;8,90518;41,88498;mDUX-rep2-peak.18846
chr3;146568472;146568868;397;146568616;70,24;44,9234;8,90518;41,88498;mDUX-rep2-peak.18865
chr10;120522705;120523395;691;120523106;68,34;44,88113;9,23343;41,84286;mDUX-rep2-peak.3656
chr1;136567550;136568115;566;136567846;68,34;44,7936;9,20768;41,7555;mDUX-rep2-peak.1449
chr11;3198810;3199989;1180;3199132;202,18;44,72667;3,2251;41,68867;mDUX-rep2-peak.3784
chr9;70543355;70543826;472;70543567;81,63;44,7148;7,45776;41,67682;mDUX-rep2-peak.28645
chr1;182496579;182497009;431;182496816;93,97;44,71448;6,40014;41,67651;mDUX-rep2-peak.2018
chr2;91280536;91280976;441;91280752;87,33;44,64823;6,83224;41,6104;mDUX-rep2-peak.16269
chr8;118986674;118987729;1056;118986894;83,53;44,61096;7,21865;41,5732;mDUX-rep2-peak.27725
